% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=914949, Wed Oct 26 12:55:21 2022, <python>{}</python>
1 17 0.09526240205945609 1.0000493839353959 1036.283942096441 1.0362839420964410e+03 1103.6976251238202 14509.914621242928   
2 34 0.09162252016003225 1.0234839058675105 999.2567656898561 9.9925676568985614e+02 1140.779603346736 13980.484612598528   
3 51 0.08842035386013028 1.0257975684508074 999.2567656898561 1.0639134834814927e+03 1136.6057770460552 14314.744434259674   
4 68 0.08564217098329287 1.0300214724205699 999.2567656898561 1.0644128401726414e+03 1148.3914644675922 1212.028191391172   
5 85 0.08300585156961003 1.0324118773515285 999.2567656898561 1.1007715883225083e+03 1165.7216369492285 14274.581661115102   
6 102 0.08074401136104904 1.036866311908754 999.2567656898561 1.0903153404188063e+03 1167.281844354383 1267.0732383699565   
7 119 0.07825327143965742 1.0393967159182265 999.2567656898561 1.0501789769665388e+03 1178.4201501945936 13976.511992163989   
8 136 0.0759932694534485 1.0408424828178466 999.2567656898561 1.0134330191579940e+03 1169.7562698053293 1850.0931420716465   
9 153 0.07383044506660708 1.0406083396832544 999.2567656898561 1.0548029171177395e+03 1171.3746172823608 14422.775400691939   
10 170 0.0717930291956836 1.0428459408517303 999.2567656898561 1.0704387248569662e+03 1127.365990539997 14251.96110006159   
11 187 0.06987429788687576 1.0434796646225142 999.2567656898561 1.0664584073761478e+03 1139.2647203718361 14064.377194933388   
12 204 0.0680243572446721 1.0448007860663913 999.2567656898561 1.0528354406531298e+03 1155.7041417165779 14386.12545572815   
13 221 0.06615308347238338 1.0480985805013456 999.2567656898561 1.0436502922453451e+03 1122.3038993490002 13982.704297710921   
14 238 0.06430497274355523 1.0496970825963137 999.2567656898561 1.0264228008967029e+03 1093.5084554056937 1175.5660941196784   
15 255 0.06241120139839143 1.0514886824262362 986.8650796727275 9.8686507967272746e+02 1101.580588192094 14412.906219576373   
16 272 0.060395576798154355 1.053514457264757 984.2545755761165 9.8425457557611651e+02 1084.4871383584152 1196.346106539252   
